Project,Releases,Period,Stars,Classes,KLOCs,Smells,Commits
phpMyadmin,55,2014-2020,"4,7k",30-645,228-328,"60,695","118,402"
Joomla,34,2011-2019,"3,4","1,102-2,631",271-662,"75,616","41,287"
Wordpress,74,2005-2019,"13,4",24-496,37-391,"106,962","46,418"
Piwik,38,2010-2020,"12,6","1,017-2,095",242-374,"39,896","27,256"
Laravel,22,2012-2020,"57,3",95-248,Dec-40,"1,647","16,214"
CakePHP,26,2011-2020,"8,1","902-3,488",201-341,"23,368","42,873"
Moodle,38,2011-2020,3,"3,725-11,688",295-703,"71,743","153,943"
Symfony,58,20112020,"23,3","1,466-2,159",119-183,"53,622","48,759"
CodeIgniter,20,2011-2019,"17,9",88-160,37-113,"7,231","10,105"
phpBB,65,2001-2020,"1,3","171-1,383",39-282,"76,936","34,571"
