Files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
lib/Cake/Config/config.php,112,3,2,1
lib/Cake/Console/ConsoleOutput.php,1357,2,0,2
lib/Cake/Test/Case/Model/Datasource/Database/SqliteTest.php,43,4,1,3
lib/Cake/Console/Command/Task/TestTask.php,134,3,0,3
lib/Cake/Console/Templates/skel/Controller/PagesController.php,61,3,0,3
lib/Cake/Controller/PagesController.php,143,2,0,2
lib/Cake/Test/Case/Controller/Component/Auth/ActionsAuthorizeTest.php,125,1,1,0
lib/Cake/Test/Case/Model/DbAclTest.php,48,7,6,1
lib/Cake/Test/Case/View/ScaffoldViewTest.php,146,1,1,0
lib/Cake/Test/testapp/Config/vartest.php,61,11,8,3
lib/Cake/Test/testapp/Config/vartest2.php,46,6,5,1
lib/Cake/TestSuite/templates/phpunit.php,46,14,12,2
lib/Cake/View/ThemeView.php,147,3,2,1
lib/Cake/bootstrap.php,93,25,4,21
lib/Cake/Test/Case/Console/AllConsoleLibsTest.php,20,9,0,9
lib/Cake/Test/Case/Model/models.php,181,6,3,3
lib/Cake/Test/Fixture/TranslateArticleFixture.php,95,4,2,2
lib/Cake/Test/Fixture/TranslatedItemFixture.php,114,3,2,1
lib/Cake/Cache/Engine/XcacheEngine.php,277,14,8,6
lib/Cake/Controller/CakeErrorController.php,150,7,5,2
lib/Cake/Test/Case/View/XmlViewTest.php,58,4,3,1
lib/Cake/Test/testapp/Controller/TestAppsErrorController.php,114,3,2,1
lib/Cake/Test/testapp/Error/TestAppsExceptionRenderer.php,117,4,3,1
lib/Cake/Test/testapp/View/Helper/BananaHelper.php,278,3,2,1
lib/Cake/TestSuite/CakeTestSuiteDispatcher.php,235,4,2,2
lib/Cake/TestSuite/Fixture/CakeFixtureManager.php,1377,63,63,0
app/Config/routes.php,114,2,1,1
lib/Cake/Cache/Engine/WincacheEngine.php,45,4,2,2
lib/Cake/Console/ConsoleErrorHandler.php,231,10,5,5
lib/Cake/Console/Templates/skel/Config/routes.php,143,6,3,3
lib/Cake/Controller/Component/CookieComponent.php,46,2,1,1
lib/Cake/Model/Validator/CakeValidationRule.php,121,36,36,0
lib/Cake/Model/Validator/CakeValidationSet.php,115,2,1,1
lib/Cake/Network/Email/MailTransport.php,2,3,2,1
lib/Cake/Test/Case/Console/ConsoleErrorHandlerTest.php,26,11,5,6
lib/Cake/Test/Case/Network/Email/MailTransportTest.php,101,30,30,0
app/Config/Schema/i18n.php,142,28,27,1
app/Config/acl.php,278,2,1,1
app/Config/bootstrap.php,269,28,26,2
app/Config/core.php,111,25,20,5
lib/Cake/Console/Command/Task/TemplateTask.php,12,1,0,1
lib/Cake/Console/Templates/skel/Config/Schema/i18n.php,41,2,1,1
lib/Cake/Console/Templates/skel/Config/bootstrap.php,268,1,0,1
lib/Cake/Console/Templates/skel/Config/core.php,78,4,2,2
lib/Cake/Controller/Component/Auth/BaseAuthenticate.php,152,7,4,3
lib/Cake/Controller/Component/Auth/DigestAuthenticate.php,310,3,2,1
lib/Cake/Event/CakeEvent.php,141,4,1,3
lib/Cake/Event/CakeEventManager.php,158,2,1,1
lib/Cake/Model/ConnectionManager.php,86,4,2,2
lib/Cake/Network/Http/HttpResponse.php,276,4,0,4
lib/Cake/Test/Case/Controller/ScaffoldTest.php,1424,2,1,1
lib/Cake/Test/Case/Model/Behavior/TreeBehaviorUuidTest.php,279,5,4,1
lib/Cake/Test/Case/Model/Datasource/DataSourceTest.php,46,1,1,0
lib/Cake/Test/Case/Model/Validator/CakeValidationRuleTest.php,53,1,1,0
lib/Cake/Test/Case/TestSuite/CakeTestSuiteTest.php,115,1,1,0
lib/Cake/Test/Case/View/MediaViewTest.php,73,1,1,0
lib/Cake/Test/Fixture/FlagTreeFixture.php,34,60,30,30
/testapp/Plugin/TestPlugin/Controller/TestPluginAppController.php,150,7,2,5
lib/Cake/TestSuite/CakeTestRunner.php,58,1,1,0
lib/Cake/TestSuite/templates/menu.php,114,5,2,3
lib/Cake/View/Helper/SessionHelper.php,118,5,3,2
lib/Cake/View/Helper/TextHelper.php,311,12,7,5
lib/Cake/View/JsonView.php,158,1,1,0
lib/Cake/View/ViewBlock.php,112,1,1,0
app/webroot/index.php,121,2,2,0
lib/Cake/Console/Command/ServerShell.php,17,16,8,8
lib/Cake/Console/Templates/skel/webroot/index.php,24,8,5,3
lib/Cake/Controller/ComponentCollection.php,24,1,1,0
lib/Cake/Test/Case/AllDbRelatedTest.php,47,4,3,1
lib/Cake/Test/Case/Console/Command/ApiShellTest.php,124,7,5,2
lib/Cake/Test/Case/Model/Behavior/AclBehaviorTest.php,54,3,2,1
lib/Cake/Test/Case/Model/Behavior/TreeBehaviorAfterTest.php,29,3,1,2
lib/Cake/Test/Case/Network/Email/DebugTransportTest.php,141,3,2,1
lib/Cake/Test/Case/Network/Http/DigestAuthenticationTest.php,21,1,1,0
lib/Cake/Test/Case/Routing/Filter/AssetDispatcherTest.php,232,8,2,6
lib/Cake/Test/Fixture/AcoTwoFixture.php,70,1,1,0
lib/Cake/Test/Fixture/AroTwoFixture.php,121,3,2,1
lib/Cake/Test/Fixture/NumberTreeFixture.php,48,5,5,0
lib/Cake/Test/Fixture/NumberTreeTwoFixture.php,134,2,2,0
lib/Cake/Test/Fixture/UnconventionalTreeFixture.php,61,4,2,2
app/Controller/PagesController.php,152,4,2,2
lib/Cake/Config/routes.php,34,4,1,3
lib/Cake/Network/Email/SmtpTransport.php,19,3,2,1
lib/Cake/Network/Http/HttpSocketResponse.php,39,73,38,35
lib/Cake/Test/Case/Controller/ComponentTest.php,67,4,2,2
lib/Cake/Test/Case/Controller/ControllerMergeVarsTest.php,84,4,3,1
lib/Cake/Test/Case/Routing/Route/RedirectRouteTest.php,93,3,3,0
lib/Cake/Test/testapp/Controller/PagesController.php,20,2,1,1
lib/Cake/Test/testapp/Controller/TestsAppsController.php,181,3,3,0
lib/Cake/Cache/Engine/MemcacheEngine.php,62,1,1,0
lib/Cake/Cache/Engine/RedisEngine.php,136,10,5,5
lib/Cake/Console/Command/CommandListShell.php,36,2,1,1
lib/Cake/Console/Command/CompletionShell.php,268,16,8,8
lib/Cake/Console/Command/I18nShell.php,283,19,10,9
lib/Cake/Console/Command/Task/CommandTask.php,78,2,1,1
lib/Cake/Console/Command/Task/PluginTask.php,95,4,2,2
lib/Cake/Console/Command/TestsuiteShell.php,39,16,8,8
lib/Cake/Console/Templates/skel/Test/Case/AllTestsTest.php,276,38,20,18
lib/Cake/Routing/Dispatcher.php,23,2,1,1
lib/Cake/Routing/DispatcherFilter.php,146,16,8,8
lib/Cake/Routing/Filter/AssetDispatcher.php,35,18,0,18
lib/Cake/Test/Case/Console/Command/CommandListShellTest.php,1474,322,242,80
lib/Cake/Test/Case/Console/Command/Task/CommandTaskTest.php,28,11,8,3
lib/Cake/Test/Case/TestSuite/Fixture/CakeFixtureManagerTest.php,55,3,2,1
lib/Cake/Test/Fixture/DatatypeFixture.php,1484,36,35,1
lib/Cake/Test/Fixture/UnsignedFixture.php,154,4,3,1
lib/Cake/TestSuite/Coverage/BaseCoverageReport.php,24,2,1,1
lib/Cake/View/XmlView.php,1484,10,5,5
lib/Cake/Console/HelpFormatter.php,1485,11,9,2
lib/Cake/Test/Fixture/AfterTreeFixture.php,13,7,4,3
lib/Cake/Test/Fixture/DependencyFixture.php,32,36,18,18
lib/Cake/Test/Fixture/TagFixture.php,1489,16,16,0
lib/Cake/Model/Behavior/AclBehavior.php,1489,2,1,1
lib/Cake/Test/Case/Event/CakeEventTest.php,80,33,27,6
lib/Cake/Test/Case/Network/Http/BasicAuthenticationTest.php,141,20,8,12
lib/Cake/Test/Case/Controller/PagesControllerTest.php,27,9,6,3
lib/Cake/Test/Case/Utility/ClassRegistryTest.php,157,7,5,2
lib/Cake/TestSuite/CakeTestCase.php,84,19,19,0
lib/Cake/Utility/Security.php,313,1,1,0
lib/Cake/Test/Case/AllControllerTest.php,328,31,31,0
lib/Cake/Test/Case/Controller/ApplicationControllerTest.php,139,11,11,0
src/Cache/Engine/XcacheEngine.php,140,12,12,0
src/Datasource/EntityInterface.php,1498,2,1,1
src/Error/BaseErrorHandler.php,328,7,4,3
src/I18n/Formatter/IcuFormatter.php,43,2,1,1
src/Mailer/Transport/SmtpTransport.php,144,4,4,0
src/Network/Session/CacheSession.php,38,4,4,0
src/Network/Session/DatabaseSession.php,63,17,17,0
src/ORM/Association/SelectableAssociationTrait.php,43,2,1,1
src/ORM/EagerLoadable.php,79,1,1,0
src/ORM/LazyEagerLoader.php,77,6,6,0
src/Routing/Route/DashedRoute.php,11,10,5,5
src/Routing/Route/PluginShortRoute.php,32,2,2,0
src/Shell/CompletionShell.php,98,3,1,2
src/Shell/I18nShell.php,17,5,4,1
src/View/Form/FormContext.php,17,5,4,1
tests/TestCase/Database/Expression/QueryExpressionTest.php,34,3,2,1
tests/TestCase/Network/Session/DatabaseSessionTest.php,52,2,1,1
tests/TestCase/Shell/CommandListShellTest.php,126,2,1,1
tests/TestCase/Shell/I18nShellTest.php,140,9,5,4
tests/TestCase/TestSuite/FixtureManagerTest.php,24,2,2,0
