modified_Smelly_Classes,classsize,classtype,BugsafterSmells,BugsbeforeSmells,fixingcommits,codechurn,commitsexhibiting,v2.0.2,v2.0.6,v2.1.3,v2.1.4,v2.2.3,v2.2.4,v2.3.9,v2.3.10,v2.5.0,v2.5.4,v2.5.6,v2.5.7,v2.6.11,v2.7.8,v2.8.8,v2.9.1,v2.9.3,v2.10.9,v2.10.14,v2.10.17,v2.10.19,v3.1.6,v3.3.4,v3.4.8,v3.5.3,v3.6.2
lib/Cake/Controller/Component/AuthComponent.php,1030,Large,31,5,3,74,3,0,0,0,0,0,0,41,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Controller/Component/RequestHandlerComponent.php,763,Large,10,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Error/ExceptionRenderer.php,398,Large,17,1,1,29,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Model/Datasource/Database/Sqlite.php,120,Medium,21,2,1,25,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Network/CakeResponse.php,683,Large,27,6,4,298,4,0,0,0,0,0,0,153,0,78,0,0,0,35,0,0,0,0,0,32,0,0,0,0,0,0,0
lib/Cake/Test/Case/Console/ConsoleOutputTest.php,308,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/Test/Case/Controller/Component/RequestHandlerComponentTest.php,1504,Large,13,1,1,134,1,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Error/ExceptionRendererTest.php,935,Large,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/TestSuite/ControllerTestCase.php,437,Large,14,2,2,51,2,0,0,0,0,0,0,39,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/Helper/CacheHelper.php,341,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/basics.php,757,Large,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/AclShell.php,619,Large,11,1,1,22,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/SchemaShell.php,573,Large,27,3,3,271,3,0,71,0,0,0,0,191,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/Task/ControllerTask.php,508,Large,21,2,1,42,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/Task/DbConfigTask.php,385,Large,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/Task/FixtureTask.php,421,Large,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/Task/ModelTask.php,1057,Large,22,2,2,64,2,0,0,0,0,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
