files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
core/API/DocumentationGenerator.php,91,1,0,1
core/Archive.php,309,374,192,182
core/Archive/Array/IndexedByDate.php,221,4,3,1
core/Archive/Single.php,239,2,1,1
core/ArchiveProcessing.php,243,15,10,5
core/ArchiveProcessing/Day.php,343,2,1,1
core/ArchiveProcessing/Period.php,89,10,4,6
core/Common.php,200,7,6,1
core/Controller.php,242,253,112,141
core/DataTable.php,1729,151,150,1
core/DataTable/Filter.php,78,26,25,1
/Filter/AddColumnsProcessedMetricsGoal.php,1730,2,1,1
core/DataTable/Renderer/Console.php,242,6,3,3
core/DataTable/Renderer/Csv.php,203,12,9,3
core/DataTable/Renderer/Html.php,144,3,2,1
core/DataTable/Renderer/Rss.php,144,2,1,1
core/DataTable/Renderer/Xml.php,242,2,1,1
core/DataTable/Row.php,314,15,9,6
core/Date.php,244,2,1,1
core/Db/Schema.php,67,2,1,1
core/Db/Schema/Myisam.php,65,2,1,1
core/FrontController.php,1728,102,50,52
core/Http.php,289,22,19,3
core/IP.php,392,9,9,0
core/Loader.php,694,20,20,0
core/Log.php,727,32,26,6
core/Log/Error.php,552,19,13,6
core/Period/Range.php,755,56,42,14
core/Piwik.php,556,13,13,0
core/Plugin.php,767,28,28,0
core/PluginsManager.php,244,2,1,1
core/ProxyHeaders.php,192,2,1,1
core/ReportRenderer/Pdf.php,733,4,2,2
core/SegmentExpression.php,564,11,10,1
core/Session.php,566,10,10,0
core/SmartyPlugins/modifier.escape.php,767,2,1,1
core/TaskScheduler.php,568,5,5,0
core/Tracker.php,572,3,3,0
core/Tracker/Db.php,254,3,0,3
core/Tracker/GoalManager.php,1719,11,0,11
core/Tracker/Visit.php,291,10,8,2
core/Updates.php,599,9,9,0
core/Url.php,1720,1,1,0
core/View.php,601,6,5,1
core/ViewDataTable.php,1720,1,1,0
/GenerateGraphData/ChartEvolution.php,795,15,11,4
core/ViewDataTable/HtmlTable/Goals.php,597,5,4,1
libs/HTML/QuickForm2/Node.php,75,12,10,2
libs/PiwikTracker/PiwikTracker.php,404,10,5,5
libs/UserAgentParser/UserAgentParser.php,733,3,1,2
libs/Zend/Auth/Adapter/Http.php,796,7,5,2
libs/Zend/Auth/Adapter/Http/Resolver/File.php,838,86,75,11
libs/Zend/Auth/Adapter/Ldap.php,651,63,62,1
libs/Zend/Cache/Backend.php,385,2,1,1
libs/Zend/Cache/Backend/File.php,85,2,1,1
libs/Zend/Cache/Backend/Libmemcached.php,362,11,7,4
libs/Zend/Cache/Backend/Memcached.php,842,5,4,1
libs/Zend/Cache/Backend/Sqlite.php,839,7,2,5
libs/Zend/Cache/Backend/Static.php,362,2,1,1
libs/Zend/Cache/Backend/Test.php,127,12,11,1
libs/Zend/Cache/Backend/TwoLevels.php,383,10,4,6
libs/Zend/Cache/Backend/Xcache.php,228,14,10,4
libs/Zend/Cache/Backend/ZendPlatform.php,139,95,88,7
libs/Zend/Cache/Core.php,469,9,9,0
libs/Zend/Cache/Frontend/Function.php,254,12,11,1
libs/Zend/Cache/Frontend/Page.php,223,39,26,13
libs/Zend/Cache/Manager.php,1738,28,23,5
libs/Zend/Config.php,544,59,4,55
libs/Zend/Config/Ini.php,249,34,34,0
libs/Zend/Config/Json.php,215,25,22,3
libs/Zend/Config/Xml.php,252,3,3,0
libs/Zend/Config/Yaml.php,56,4,2,2
libs/Zend/Db.php,342,2,1,1
libs/Zend/Db/Adapter/Abstract.php,350,10,9,1
libs/Zend/Db/Adapter/Db2.php,843,5,4,1
libs/Zend/Db/Adapter/Mysqli.php,109,13,9,4
libs/Zend/Db/Adapter/Oracle.php,194,5,3,2
libs/Zend/Db/Adapter/Pdo/Mssql.php,139,8,4,4
libs/Zend/Db/Adapter/Pdo/Mysql.php,49,3,2,1
libs/Zend/Db/Adapter/Sqlsrv.php,141,11,7,4
libs/Zend/Db/Select.php,239,18,7,11
libs/Zend/Db/Statement.php,1754,39,36,3
libs/Zend/Db/Statement/Db2.php,214,3,1,2
libs/Zend/Db/Statement/Mysqli.php,359,6,4,2
libs/Zend/Db/Statement/Oracle.php,248,6,6,0
libs/Zend/Db/Statement/Pdo.php,1756,16,12,4
libs/Zend/Db/Statement/Sqlsrv.php,849,344,199,145
libs/Zend/Db/Table/Abstract.php,223,4,2,2
libs/Zend/Db/Table/Row/Abstract.php,248,13,10,3
libs/Zend/Db/Table/Rowset/Abstract.php,256,11,6,5
libs/Zend/Exception.php,1767,24,21,3
libs/Zend/Feed.php,658,3,3,0
libs/Zend/Feed/Atom.php,734,9,5,4
libs/Zend/Feed/Builder.php,261,13,10,3
libs/Zend/Feed/Element.php,253,17,4,13
libs/Zend/Feed/Entry/Atom.php,738,4,4,0
libs/Zend/Feed/Pubsubhubbub/Subscriber.php,315,44,36,8
/Feed/Pubsubhubbub/Subscriber/Callback.php,74,15,11,4
libs/Zend/Feed/Reader.php,123,6,3,3
libs/Zend/Feed/Reader/Entry/Rss.php,662,4,4,0
libs/Zend/Feed/Reader/Extension/Atom/Entry.php,848,4,2,2
libs/Zend/Feed/Reader/Feed/Rss.php,255,2,2,0
libs/Zend/Feed/Reader/FeedSet.php,192,2,1,1
libs/Zend/Feed/Rss.php,111,2,1,1
libs/Zend/Feed/Writer.php,216,7,6,1
libs/Zend/Feed/Writer/Deleted.php,297,5,3,2
libs/Zend/Feed/Writer/Entry.php,127,9,9,0
libs/Zend/Feed/Writer/Feed.php,237,16,10,6
libs/Zend/Feed/Writer/Feed/FeedAbstract.php,38,2,1,1
