files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
laravel/bundle.php,141,2,2,0
laravel/database/query.php,149,2,1,1
laravel/database/schema/grammars/mysql.php,168,2,1,1
laravel/database/schema/grammars/postgres.php,204,8,4,4
laravel/database/schema/grammars/sqlserver.php,214,24,24,0
laravel/database/schema/table.php,221,30,27,3
laravel/file.php,221,2,1,1
laravel/html.php,235,8,8,0
laravel/response.php,179,14,7,7
laravel/routing/route.php,235,2,1,1
laravel/routing/router.php,192,4,2,2
laravel/str.php,253,28,28,0
laravel/validator.php,146,2,1,1
laravel/view.php,257,2,1,1
laravel/database/connection.php,271,13,13,0
laravel/database/eloquent/model.php,173,12,7,5
laravel/form.php,147,2,1,1
laravel/request.php,395,16,8,8
laravel/routing/controller.php,255,2,1,1
laravel/session.php,104,11,11,0
laravel/session/payload.php,179,4,1,3
vendor/Symfony/Component/Console/Application.php,124,12,12,0
/Component/Console/Command/Command.php,69,11,11,0
/Component/Console/Helper/DialogHelper.php,86,24,23,1
/Component/Console/Input/InputDefinition.php,110,2,2,0
/Component/Console/Input/InputOption.php,139,10,5,5
bundles/docs/libraries/markdown.php,138,10,5,5
laravel/blade.php,329,4,4,0
laravel/database.php,183,2,1,1
laravel/input.php,47,4,3,1
laravel/url.php,67,4,3,1
/Symfony/Component/Console/Application.php,59,4,3,1
/Component/HttpFoundation/ParameterBag.php,325,2,1,1
/Symfony/Component/HttpFoundation/Request.php,325,2,1,1
/Component/HttpFoundation/RequestMatcher.php,322,6,3,3
/Component/HttpFoundation/Response.php,346,2,1,1
/Component/HttpFoundation/Session/Session.php,208,29,28,1
/Session/Storage/NativeSessionStorage.php,138,4,2,2
laravel/tests/cases/asset.test.php,333,8,6,2
laravel/tests/cases/auth.test.php,104,2,1,1
laravel/tests/cases/bundle.test.php,346,4,2,2
laravel/tests/cases/controller.test.php,397,2,1,1
laravel/tests/cases/route.test.php,158,2,1,1
laravel/tests/cases/session.test.php,144,10,10,0
laravel/tests/cases/str.test.php,333,2,1,1
laravel/tests/cases/validator.test.php,320,21,13,8
laravel/tests/cases/view.test.php,187,13,13,0
laravel/tests/cases/eloquent.test.php,153,2,1,1
laravel/database/query/grammars/grammar.php,147,4,3,1
laravel/tests/cases/form.test.php,332,8,3,5
laravel/tests/cases/html.test.php,158,2,1,1
laravel/cache.php,208,60,30,30
/Component/HttpFoundation/HeaderBag.php,144,2,1,1
/HttpFoundation/ResponseHeaderBag.php,208,2,1,1
/Component/HttpFoundation/ServerBag.php,345,2,1,1
