smelly classes,classsize,classtype,bugsafter smells,BgsBefore smells,fixingcommits,codechurn,commitsexhibiting,v2.9.2,v2.11.6,v3.2.0,v3.3.1,v3.3.6,v3.3.7,v3.3.9,v3.4.0,v3.5.2,v3.5.5,v4.0.1,v4.1.10,v4.1.13,v4.2.0,v4.2.4,v4.2.8,v4.2.9,v4.2.11,v4.2.12,v4.2.13,v4.3.3,v4.3.5,v4.3.6,v4.3.7,v4.3.9,v4.4.1,v4.4.14,v4.4.15,v4.5.0,v4.5.1,v4.5.2,v4.5.3,v4.5.3.1,v4.5.4,v4.5.5,v4.6.0,v4.6.2,v4.6.3,v4.6.4,v4.6.5,v4.6.6,v4.7.0,v4.7.2,v4.7.3,v4.7.4,v4.7.6,v4.7.8,v4.7.9,v4.8.0,v4.8.1,v4.8.4,v4.8.5,v4.9.0,v4.9.2,v4.9.4,,,0,0,0,0,0,0,0,0
libraries/Config.class.php,1943,Large,50,13,5,630,8,0,26,46,0,0,167,370,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/File.class.php,742,Large,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/dbi/mysql.dbi.lib.php,552,Large,17,2,2,309,1,0,158,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/dbi/mysqli.dbi.lib.php,750,Large,20,4,4,1300,2,0,158,8,0,0,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/Index.class.php,1061,Large,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/Message.class.php,758,Large,15,1,1,42,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/common.lib.php,3884,Large,142,23,4,414,7,0,195,52,0,45,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
libraries/sqlparser.lib.php,2997,Large,57,4,4,4674,4,4386,0,0,0,0,80,27,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
navigation.php,249,Medium,21,8,2,235,2,0,71,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
setup/lib/index.lib.php,184,Medium,39,4,2,58,3,0,35,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
