files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
wp-admin/admin-functions.php,866,12,11,1
wp-admin/install-helper.php,536,1,0,1
wp-admin/link-add.php,185,1,1,0
wp-admin/link-manager.php,256,1,1,0
wp-admin/upgrade-functions.php,219,1,1,0
wp-content/plugins/markdown.php,980,2,1,1
wp-content/plugins/textile1.php,419,11,9,2
wp-includes/comment-functions.php,209,536,268,268
wp-includes/feed-functions.php,866,2,1,1
wp-includes/functions-formatting.php,539,1,1,0
wp-includes/functions-post.php,428,18,10,8
wp-includes/functions.php,1460,22,21,1
wp-includes/kses.php,888,13,3,10
wp-includes/pluggable-functions.php,430,5,3,2
wp-includes/template-functions-category.php,1441,6,5,1
wp-includes/template-functions-post.php,966,16,1,15
xmlrpc.php,882,93,39,54
wp-admin/admin-db.php,765,59,23,36
wp-admin/edit-link-form.php,174,2,1,1
wp-content/themes/default/functions.php,556,34,19,15
wp-includes/capabilities.php,347,2,1,1
wp-includes/class-snoopy.php,306,2,1,1
wp-includes/links.php,1495,2,1,1
wp-includes/registration-functions.php,1529,55,43,12
wp-includes/rss-functions.php,259,5,4,1
wp-includes/template-functions-author.php,542,78,40,38
wp-includes/template-functions-general.php,320,2,1,1
wp-includes/template-functions-links.php,204,1,0,1
wp-admin/import/dotclear.php,970,514,257,257
wp-includes/bookmark-template.php,320,2,1,1
wp-includes/category.php,503,19,7,12
wp-includes/cron.php,921,14,8,6
wp-includes/formatting.php,189,5,4,1
wp-includes/post-template.php,584,2,1,1
wp-includes/post.php,197,4,2,2
wp-admin/upload-functions.php,241,2,1,1
wp-includes/author-template.php,1555,6,6,0
wp-includes/bookmark.php,1091,21,14,7
wp-includes/category-template.php,321,4,3,1
wp-includes/comment-template.php,203,8,4,4
wp-includes/comment.php,1563,2,1,1
wp-includes/feed.php,245,15,10,5
wp-includes/general-template.php,217,8,6,2
wp-includes/link-template.php,217,2,1,1
wp-includes/pluggable.php,1563,2,1,1
wp-includes/registration.php,918,3,3,0
wp-includes/rss.php,543,1,1,0
wp-includes/theme.php,461,23,13,10
wp-admin/export.php,208,6,3,3
wp-admin/widgets.php,203,7,1,6
wp-includes/class-phpmailer.php,1081,2,1,1
wp-includes/widgets.php,249,8,4,4
