files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
application/config/autoload.php,49,2,1,1
application/config/database.php,7,22,11,11
application/config/mimes.php,42,40,20,20
application/errors/error404.php,13,6,3,3
application/errors/errordb.php,18,10,5,5
application/errors/errorgeneral.php,1,4,2,2
application/views/welcomemessage.php,93,8,4,4
index.php,1,2,1,1
system/core/CodeIgniter.php,3,2,1,1
system/core/Controller.php,46,4,2,2
system/core/Exceptions.php,49,30,15,15
system/database/DBactiverec.php,30,4,2,2
system/database/DBdriver.php,124,68,34,34
system/database/DBresult.php,19,6,3,3
system/database/drivers/mysql/mysqldriver.php,76,6,3,3
system/database/drivers/mysql/mysqlforge.php,12,2,1,1
system/database/drivers/mysqli/mysqlidriver.php,64,2,1,1
system/database/drivers/mysqli/mysqliforge.php,80,30,15,15
system/database/drivers/postgre/postgredriver.php,54,8,4,4
system/database/drivers/sqlsrv/sqlsrvdriver.php,82,18,9,9
system/database/drivers/sqlsrv/sqlsrvforge.php,122,8,4,4
system/database/drivers/sqlsrv/sqlsrvresult.php,93,2,1,1
system/database/drivers/sqlsrv/sqlsrvutility.php,124,2,1,1
system/helpers/downloadhelper.php,93,6,3,3
system/helpers/filehelper.php,30,12,12,0
system/helpers/formhelper.php,25,7,1,6
system/helpers/htmlhelper.php,49,4,2,2
system/helpers/inflectorhelper.php,7,6,3,3
system/helpers/smileyhelper.php,8,10,6,4
system/helpers/texthelper.php,49,2,2,0
system/helpers/urlhelper.php,24,68,34,34
system/language/english/profilerlang.php,137,2,1,1
system/libraries/Cache/drivers/Cachedummy.php,24,2,1,1
system/libraries/Driver.php,118,2,1,1
system/libraries/Formvalidation.php,218,2,1,1
system/libraries/Log.php,6,1,0,1
system/libraries/Useragent.php,6,1,0,1
system/database/drivers/pdo/pdodriver.php,6,1,0,1
system/database/drivers/pdo/pdoforge.php,6,1,0,1
system/database/drivers/pdo/pdoresult.php,6,1,0,1
system/database/drivers/pdo/pdoutility.php,136,1,0,1
system/language/english/migrationlang.php,226,21,20,1
system/libraries/Cache/Cache.php,229,5,4,1
system/libraries/Cache/drivers/Cacheapc.php,229,2,1,1
system/libraries/Cache/drivers/Cachefile.php,136,2,1,1
system/libraries/Cache/drivers/Cachememcached.php,49,2,1,1
system/libraries/Imagelib.php,24,2,1,1
system/database/drivers/oci8/oci8result.php,7,12,0,12
application/config/migration.php,8,8,8,0
system/core/Benchmark.php,24,2,1,1
system/core/Model.php,20,7,7,0
system/core/Utf8.php,174,2,1,1
system/database/DBcache.php,397,4,2,2
system/database/DBforge.php,486,1,1,0
system/database/DButility.php,827,4,2,2
system/database/drivers/cubrid/cubriddriver.php,827,20,10,10
system/database/drivers/cubrid/cubridforge.php,212,14,7,7
system/database/drivers/cubrid/cubridresult.php,397,4,2,2
system/database/drivers/cubrid/cubridutility.php,411,22,18,4
system/database/drivers/mssql/mssqldriver.php,235,4,2,2
system/database/drivers/mssql/mssqlforge.php,841,10,4,6
system/database/drivers/mssql/mssqlresult.php,411,2,1,1
system/database/drivers/mssql/mssqlutility.php,248,2,1,1
system/database/drivers/mysql/mysqlresult.php,411,6,3,3
system/database/drivers/mysql/mysqlutility.php,486,1,0,1
system/database/drivers/mysqli/mysqliresult.php,248,4,2,2
system/database/drivers/mysqli/mysqliutility.php,407,66,30,36
system/database/drivers/oci8/oci8driver.php,136,2,1,1
system/database/drivers/oci8/oci8forge.php,197,2,1,1
system/database/drivers/oci8/oci8utility.php,1418,2,1,1
system/database/drivers/odbc/odbcdriver.php,1410,166,80,86
system/database/drivers/odbc/odbcforge.php,199,6,3,3
system/database/drivers/odbc/odbcresult.php,237,4,2,2
system/database/drivers/odbc/odbcutility.php,1412,4,2,2
system/database/drivers/postgre/postgreforge.php,201,3,2,1
system/database/drivers/postgre/postgreresult.php,495,23,19,4
system/database/drivers/postgre/postgreutility.php,250,2,1,1
system/database/drivers/sqlite/sqlitedriver.php,988,6,3,3
system/database/drivers/sqlite/sqliteforge.php,201,2,1,1
system/database/drivers/sqlite/sqliteresult.php,495,2,1,1
system/database/drivers/sqlite/sqliteutility.php,250,4,2,2
system/helpers/arrayhelper.php,237,2,1,1
system/helpers/captchahelper.php,848,23,22,1
system/helpers/cookiehelper.php,1412,2,1,1
system/helpers/datehelper.php,992,8,6,2
system/helpers/directoryhelper.php,495,8,4,4
system/helpers/emailhelper.php,237,68,34,34
system/helpers/languagehelper.php,848,10,5,5
system/helpers/numberhelper.php,992,2,1,1
system/helpers/pathhelper.php,201,2,1,1
system/helpers/securityhelper.php,128,2,1,1
system/helpers/stringhelper.php,848,10,5,5
system/helpers/typographyhelper.php,495,2,1,1
system/helpers/xmlhelper.php,106,8,4,4
system/libraries/Parser.php,212,22,17,5
system/libraries/Sha1.php,848,6,3,3
system/libraries/Unittest.php,112,9,8,1
system/language/english/datelang.php,850,5,3,2
system/language/english/ftplang.php,406,4,2,2
application/config/config.php,212,4,2,2
application/config/constants.php,114,4,2,2
application/config/foreignchars.php,510,13,5,8
application/config/hooks.php,407,38,18,20
application/config/memcached.php,305,60,30,30
application/config/profiler.php,510,2,1,1
application/config/routes.php,216,7,6,1
application/config/smileys.php,213,3,2,1
application/config/useragents.php,507,4,2,2
application/controllers/Welcome.php,216,2,1,1
application/views/errors/cli/errorexception.php,998,8,4,4
application/views/errors/cli/errorphp.php,407,2,1,1
application/views/errors/html/error404.php,516,9,7,2
application/views/errors/html/errordb.php,517,11,6,5
application/views/errors/html/errorexception.php,982,26,3,23
application/views/errors/html/errorgeneral.php,839,24,2,22
application/views/errors/html/errorphp.php,518,2,2,0
system/core/Common.php,249,2,2,0
system/core/compat/mbstring.php,408,3,3,0
system/database/DBquerybuilder.php,213,4,2,2
system/database/drivers/ibase/ibasedriver.php,409,56,30,26
system/database/drivers/ibase/ibaseforge.php,519,4,3,1
system/database/drivers/ibase/ibaseresult.php,236,4,2,2
system/database/drivers/ibase/ibaseutility.php,839,2,1,1
system/database/drivers/pdo/subdrivers/pdo4ddriver.php,108,7,0,7
system/database/drivers/pdo/subdrivers/pdo4dforge.php,116,22,0,22
system/database/drivers/pdo/subdrivers/pdocubriddriver.php,412,36,18,18
system/database/drivers/pdo/subdrivers/pdocubridforge.php,536,24,24,0
system/database/drivers/pdo/subdrivers/pdodblibdriver.php,106,2,1,1
system/database/drivers/pdo/subdrivers/pdodblibforge.php,49,4,2,2
system/database/drivers/pdo/subdrivers/pdofirebirddriver.php,7,6,3,3
system/database/drivers/pdo/subdrivers/pdofirebirdforge.php,8,10,6,4
system/database/drivers/pdo/subdrivers/pdoibmdriver.php,49,2,2,0
system/database/drivers/pdo/subdrivers/pdoibmforge.php,24,68,34,34
system/database/drivers/pdo/subdrivers/pdoinformixdriver.php,137,2,1,1
system/database/drivers/pdo/subdrivers/pdoinformixforge.php,24,2,1,1
system/database/drivers/pdo/subdrivers/pdomysqldriver.php,118,2,1,1
system/database/drivers/pdo/subdrivers/pdomysqlforge.php,218,2,1,1
system/database/drivers/pdo/subdrivers/pdoocidriver.php,6,1,0,1
system/database/drivers/pdo/subdrivers/pdoociforge.php,6,1,0,1
system/database/drivers/pdo/subdrivers/pdoodbcdriver.php,6,1,0,1
system/database/drivers/pdo/subdrivers/pdoodbcforge.php,6,1,0,1
system/database/drivers/pdo/subdrivers/pdopgsqldriver.php,6,1,0,1
system/database/drivers/pdo/subdrivers/pdopgsqlforge.php,136,1,0,1
system/database/drivers/pdo/subdrivers/pdosqlitedriver.php,226,21,20,1
system/database/drivers/pdo/subdrivers/pdosqliteforge.php,229,5,4,1
system/database/drivers/pdo/subdrivers/pdosqlsrvdriver.php,229,2,1,1
system/database/drivers/pdo/subdrivers/pdosqlsrvforge.php,136,2,1,1
system/database/drivers/sqlite3/sqlite3driver.php,49,2,1,1
system/database/drivers/sqlite3/sqlite3forge.php,24,2,1,1
system/database/drivers/sqlite3/sqlite3result.php,7,12,0,12
