modified_Smelly_Classes,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
lib/modinfolib.php,1098,2,1,1
mod/data/lib.php,2413,2,1,1
mod/feedback/item/captcha/lib.php,2630,3,3,0
mod/feedback/item/info/lib.php,352,309,301,8
mod/feedback/item/label/lib.php,112,7,4,3
mod/feedback/item/multichoice/lib.php,608,15,15,0
mod/feedback/item/multichoicerated/lib.php,443,25,18,7
mod/feedback/item/numeric/lib.php,289,25,18,7
mod/feedback/item/textarea/lib.php,907,2,1,1
mod/feedback/item/textfield/lib.php,4478,2,1,1
mod/feedback/lib.php,447,10,7,3
repository/lib.php,293,10,7,3
admin/oacleanup.php,1098,2,1,1
admin/registration/forms.php,238,2,1,1
auth/cas/auth.php,435,84,42,42
auth/ldap/auth.php,1536,2,1,1
auth/mnet/auth.php,469,10,5,5
auth/shibboleth/auth.php,2630,2,1,1
backup/converter/moodle1/handlerlib.php,154,14,7,7
backup/util/ui/renderer.php,337,123,97,26
blocks/community/forms.php,337,2,1,1
blog/lib.php,913,10,10,0
blog/rsslib.php,337,2,1,1
calendar/lib.php,325,2,1,1
calendar/renderer.php,658,5,3,2
course/index.php,1536,2,1,1
course/lib.php,468,10,4,6
course/renderer.php,5268,3,2,1
enrol/authorize/localfuncs.php,1336,2,1,1
enrol/authorize/locallib.php,6413,2,1,1
enrol/authorize/uploadcsv.php,2415,14,8,6
enrol/database/lib.php,1805,2,1,1
enrol/flatfile/lib.php,548,5,2,3
enrol/imsenterprise/lib.php,548,5,2,3
enrol/ldap/lib.php,4183,15,15,0
enrol/paypal/lib.php,6418,9,7,2
enrol/self/lib.php,590,13,11,2
index.php,1489,6,5,1
install.php,103,2,1,1
lib/accesslib.php,89,2,1,1
lib/adminlib.php,95,2,1,1
lib/blocklib.php,88,2,1,1
lib/cronlib.php,71,2,1,1
lib/datalib.php,213,2,1,1
lib/db/upgrade.php,578,36,29,7
lib/dml/simpletest/testdml.php,322,6,4,2
lib/editor/tinymce/lib.php,1798,119,119,0
lib/enrollib.php,337,2,1,1
lib/filelib.php,1118,2,1,1
lib/form/editor.php,299,4,2,2
lib/formslib.php,5306,66,66,0
lib/grouplib.php,2061,4,2,2
lib/messagelib.php,5269,49,25,24
lib/moodlelib.php,173,2,1,1
lib/navigationlib.php,2640,10,10,0
lib/outputcomponents.php,395,7,4,3
lib/outputrenderers.php,161,18,11,7
lib/outputrequirementslib.php,1220,16,11,5
lib/pear/HTML/QuickForm.php,1228,56,35,21
lib/portfoliolib.php,1061,4,2,2
lib/questionlib.php,1054,4,2,2
lib/sessionlib.php,616,14,9,5
lib/simpletest/testweblib.php,202,11,10,1
lib/upgradelib.php,352,2,1,1
lib/uploadlib.php,657,2,1,1
lib/weblib.php,665,2,1,1
message/lib.php,718,2,1,1
message/renderer.php,801,44,18,26
mnet/lib.php,794,5,5,0
mnet/xmlrpc/client.php,331,2,1,1
mod/assignment/lib.php,2906,2,1,1
mod/assignment/type/online/assignment.class.php,117,2,1,1
mod/chat/lib.php,1757,2,1,1
mod/data/rsslib.php,97,2,1,1
mod/feedback/import.php,177,8,6,2
mod/forum/lib.php,202,2,1,1
mod/forum/search.php,914,2,1,1
mod/imscp/locallib.php,794,4,2,2
mod/lesson/locallib.php,1486,13,2,11
mod/lesson/pagetypes/matching.php,817,27,17,10
mod/lesson/pagetypes/shortanswer.php,2630,22,4,18
mod/lesson/pagetypes/truefalse.php,2644,2,1,1
mod/quiz/accessrules.php,1493,10,10,0
mod/quiz/attemptlib.php,242,4,3,1
mod/quiz/db/upgrade.php,460,18,13,5
mod/quiz/editlib.php,2910,20,12,8
mod/quiz/lib.php,684,7,6,1
mod/quiz/locallib.php,899,2,1,1
mod/quiz/renderer.php,821,21,18,3
mod/quiz/report/grading/report.php,1248,6,5,1
mod/quiz/report/overview/report.php,4478,2,1,1
mod/quiz/report/responses/report.php,1498,9,7,2
mod/quiz/report/statistics/report.php,1537,1,1,0
mod/scorm/db/upgrade.php,297,1,1,0
mod/scorm/locallib.php,297,1,1,0
mod/url/locallib.php,2912,6,4,2
mod/wiki/lib.php,1226,2,1,1
mod/wiki/locallib.php,1106,2,1,1
mod/wiki/pagelib.php,1983,3,3,0
mod/wiki/renderer.php,1501,4,4,0
mod/workshop/form/rubric/lib.php,6439,3,2,1
mod/workshop/lib.php,226,4,4,0
mod/workshop/locallib.php,1485,1,1,0
mod/workshop/renderer.php,811,2,1,1
/simpletest/testwalkthrough.php,1510,8,4,4
question/editlib.php,5312,1,1,0
question/engine/datalib.php,657,3,3,0
question/engine/questionattempt.php,6440,4,4,0
question/engine/simpletest/helpers.php,1143,2,1,1
