files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
src/Symfony/Bridge/Doctrine/Validator/Constraints/UniqueEntityValidator.php,99,2,1,1
src/Symfony/Bundle/DoctrineBundle/DependencyInjection/DoctrineExtension.php,343,34,33,1
src/Symfony/Bundle/DoctrineBundle/Tests/DependencyInjection/AbstractDoctrineExtensionTest.php,86,3,3,0
src/Symfony/Bundle/FrameworkBundle/DependencyInjection/FrameworkExtension.php,50,4,2,2
src/Symfony/Bundle/FrameworkBundle/HttpKernel.php,298,3,3,0
src/Symfony/Bundle/SwiftmailerBundle/DependencyInjection/SwiftmailerExtension.php,382,4,4,0
src/Symfony/Bundle/WebProfilerBundle/EventListener/WebDebugToolbarListener.php,52,2,1,1
src/Symfony/Component/ClassLoader/ClassCollectionLoader.php,49,2,1,1
src/Symfony/Component/ClassLoader/UniversalClassLoader.php,36,2,1,1
src/Symfony/Component/Console/Application.php,82,2,1,1
src/Symfony/Component/Console/Helper/DialogHelper.php,60,2,1,1
src/Symfony/Component/DependencyInjection/Loader/XmlFileLoader.php,107,30,17,13
src/Symfony/Component/DomCrawler/Crawler.php,101,11,5,6
src/Symfony/Component/DomCrawler/Field/ChoiceFormField.php,44,6,3,3
src/Symfony/Component/DomCrawler/Form.php,404,2,0,2
src/Symfony/Component/Form/AbstractType.php,371,3,0,3
src/Symfony/Component/Form/Extension/Core/DataTransformer/DateTimeToArrayTransformer.php,815,2,0,2
src/Symfony/Component/Form/Extension/Core/Type/ChoiceType.php,442,6,4,2
src/Symfony/Component/Form/Extension/Core/Type/DateType.php,599,2,1,1
src/Symfony/Component/Form/Extension/Core/Type/TimeType.php,277,2,1,1
src/Symfony/Component/Form/Extension/Validator/ValidatorTypeGuesser.php,168,30,30,0
src/Symfony/Component/Form/Form.php,114,2,1,1
src/Symfony/Component/Form/FormBuilder.php,178,8,8,0
src/Symfony/Component/HttpFoundation/Request.php,334,10,8,2
src/Symfony/Component/HttpFoundation/Response.php,195,9,9,0
src/Symfony/Component/HttpFoundation/Session.php,176,32,32,0
src/Symfony/Component/HttpKernel/Kernel.php,95,4,4,0
src/Symfony/Component/HttpKernel/Util/Filesystem.php,96,7,4,3
src/Symfony/Component/Locale/Stub/DateFormat/FullTransformer.php,47,16,11,5
src/Symfony/Component/Process/ExecutableFinder.php,599,18,9,9
src/Symfony/Component/Routing/Loader/AnnotationClassLoader.php,131,17,13,4
src/Symfony/Component/Routing/Loader/AnnotationFileLoader.php,155,21,11,10
src/Symfony/Component/Routing/Matcher/Dumper/ApacheMatcherDumper.php,129,21,11,10
src/Symfony/Component/Routing/RouteCompiler.php,1546,22,22,0
src/Symfony/Component/Security/Acl/Voter/AclVoter.php,199,18,14,4
src/Symfony/Component/Security/Http/Firewall/AbstractAuthenticationListener.php,182,7,7,0
src/Symfony/Component/Security/Http/Firewall/ExceptionListener.php,631,3,1,2
src/Symfony/Component/Serializer/Serializer.php,455,6,5,1
src/Symfony/Component/Validator/Constraints/ChoiceValidator.php,457,9,6,3
src/Symfony/Component/Validator/Constraints/CollectionValidator.php,105,2,1,1
src/Symfony/Component/Validator/Constraints/EmailValidator.php,82,2,1,1
src/Symfony/Component/Validator/Constraints/FileValidator.php,120,9,7,2
src/Symfony/Component/Validator/Constraints/IpValidator.php,143,2,1,1
src/Symfony/Component/Yaml/Parser.php,457,2,1,1
tests/Symfony/Tests/Component/DomCrawler/CrawlerTest.php,598,2,1,1
tests/Symfony/Tests/Component/DomCrawler/FormTest.php,580,25,25,0
tests/Symfony/Tests/Component/EventDispatcher/EventDispatcherTest.php,267,2,1,1
tests/Symfony/Tests/Component/Form/AbstractLayoutTest.php,362,2,1,1
tests/Symfony/Tests/Component/Form/Extension/Core/DataTransformer/DateTimeToArrayTransformerTest.php,135,2,1,1
tests/Symfony/Tests/Component/Form/Extension/Core/Type/FieldTypeTest.php,227,2,1,1
tests/Symfony/Tests/Component/HttpFoundation/RequestTest.php,111,95,54,41
tests/Symfony/Tests/Component/HttpFoundation/ResponseTest.php,153,19,18,1
tests/Symfony/Tests/Component/HttpFoundation/SessionTest.php,155,4,4,0
tests/Symfony/Tests/Component/HttpKernel/HttpCache/HttpCacheTest.php,588,2,1,1
tests/Symfony/Tests/Component/Locale/Stub/StubIntlDateFormatterTest.php,457,2,1,1
tests/Symfony/Tests/Component/Routing/Matcher/UrlMatcherTest.php,158,2,1,1
src/Symfony/Bundle/FrameworkBundle/Tests/DependencyInjection/FrameworkExtensionTest.php,127,5,5,0
src/Symfony/Bundle/MonologBundle/DependencyInjection/MonologExtension.php,60,3,2,1
src/Symfony/Bundle/SecurityBundle/DependencyInjection/Security/Factory/RememberMeFactory.php,194,2,1,1
src/Symfony/Component/BrowserKit/Client.php,57,2,1,1
