files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
application/config/application.php,93,72,59,13
application/config/database.php,138,7,4,3
application/controllers/home.php,19,2,1,1
application/routes.php,27,2,1,1
application/start.php,29,7,7,0
application/views/home/index.php,90,1,1,0
laravel/autoloader.php,42,2,1,1
laravel/cli/command.php,51,2,1,1
laravel/cli/tasks/bundle/bundler.php,12,2,1,1
laravel/cli/tasks/bundle/providers/provider.php,47,2,1,1
laravel/cli/tasks/migrate/migrator.php,133,2,1,1
laravel/cli/tasks/session/manager.php,62,5,5,0
laravel/cli/tasks/test/runner.php,31,2,1,1
laravel/config.php,106,10,9,1
laravel/cookie.php,34,5,4,1
laravel/crypter.php,34,5,4,1
laravel/database/connection.php,106,2,1,1
laravel/database/connectors/mysql.php,14,7,7,0
laravel/database/connectors/postgres.php,112,71,45,26
laravel/database/connectors/sqlite.php,39,13,13,0
laravel/database/connectors/sqlserver.php,39,13,13,0
laravel/database/exception.php,45,6,5,1
laravel/database/grammar.php,117,53,40,13
laravel/database/query/grammars/grammar.php,67,13,11,2
laravel/database/schema.php,31,4,2,2
laravel/database/schema/grammars/sqlite.php,33,4,2,2
laravel/error.php,39,4,2,2
laravel/hash.php,39,4,2,2
laravel/helpers.php,147,2,1,1
laravel/ioc.php,27,64,32,32
laravel/lang.php,112,2,1,1
laravel/laravel.php,81,11,9,2
laravel/redirect.php,46,24,17,7
laravel/routing/controller.php,46,24,17,7
laravel/url.php,26,3,0,3
public/index.php,129,4,0,4
paths.php,39,2,1,1
application/config/cache.php,161,14,14,0
application/config/error.php,95,22,10,12
application/config/session.php,118,2,2,0
application/config/strings.php,118,2,1,1
application/language/en/validation.php,118,4,2,2
laravel/blade.php,46,2,1,1
laravel/cache.php,46,2,1,1
laravel/cache/drivers/apc.php,134,45,33,12
laravel/cache/drivers/database.php,25,8,8,0
laravel/cache/drivers/file.php,54,2,2,0
laravel/cache/drivers/memcached.php,87,4,2,2
laravel/cache/drivers/memory.php,74,2,1,1
laravel/cache/drivers/redis.php,74,2,1,1
laravel/cli/tasks/bundle/publisher.php,25,16,14,2
laravel/cli/tasks/test/phpunit.php,19,15,3,12
laravel/core.php,67,10,1,9
laravel/database/eloquent/pivot.php,82,5,4,1
laravel/database/eloquent/query.php,184,20,20,0
/eloquent/relationships/belongsto.php,120,32,5,27
/database/eloquent/relationships/hasmany.php,55,18,18,0
/relationships/hasmanyandbelongsto.php,55,18,18,0
/database/eloquent/relationships/hasone.php,53,2,1,1
/eloquent/relationships/hasoneormany.php,53,4,2,2
/eloquent/relationships/relationship.php,36,6,6,0
laravel/database/query/grammars/sqlserver.php,37,6,3,3
laravel/database/schema/grammars/grammar.php,191,2,1,1
laravel/event.php,6,2,1,1
laravel/fluent.php,19,14,13,1
laravel/log.php,76,6,4,2
laravel/messages.php,67,2,1,1
laravel/paginator.php,29,4,4,0
laravel/pluralizer.php,29,2,1,1
laravel/redis.php,38,2,1,1
laravel/routing/filter.php,83,12,11,1
laravel/section.php,39,4,3,1
laravel/session/drivers/apc.php,50,2,1,1
laravel/session/drivers/cookie.php,34,2,1,1
laravel/session/drivers/database.php,58,2,1,1
laravel/session/drivers/driver.php,34,11,9,2
laravel/session/drivers/file.php,72,2,2,0
laravel/session/drivers/memcached.php,85,4,2,2
laravel/session/drivers/memory.php,117,4,2,2
laravel/session/drivers/redis.php,84,446,223,223
laravel/uri.php,30,4,2,2
/Component/Console/Command/HelpCommand.php,26,46,0,46
/Component/Console/Command/ListCommand.php,24,12,12,0
/Console/Formatter/OutputFormatter.php,58,2,1,1
/Formatter/OutputFormatterInterface.php,58,2,1,1
/Console/Formatter/OutputFormatterStyle.php,83,2,1,1
/Formatter/OutputFormatterStyleInterface.php,54,2,1,1
/Component/Console/Helper/FormatterHelper.php,88,2,1,1
/Symfony/Component/Console/Helper/Helper.php,84,2,2,0
/Component/Console/Helper/HelperInterface.php,47,4,2,2
/Component/Console/Helper/HelperSet.php,47,56,28,28
/Component/Console/Input/ArgvInput.php,62,3,3,0
/Component/Console/Input/ArrayInput.php,47,68,34,34
vendor/Symfony/Component/Console/Input/Input.php,34,2,1,1
/Component/Console/Input/InputArgument.php,37,4,2,2
/Component/Console/Input/InputInterface.php,62,2,1,1
/Component/Console/Input/StringInput.php,84,2,1,1
/Component/Console/Output/ConsoleOutput.php,35,10,5,5
/Console/Output/ConsoleOutputInterface.php,29,2,1,1
/Component/Console/Output/NullOutput.php,47,196,98,98
/Symfony/Component/Console/Output/Output.php,88,6,3,3
/Component/Console/Output/OutputInterface.php,90,4,2,2
/Component/Console/Output/StreamOutput.php,30,4,2,2
